ad_id,title,location,price,year,mileage,condition,fuel_type,transmission,make,model,version,color,doors,seats,interior,warranty,owners,body_type,payment_option,source,extra_features
129761732,شيفروليه سوبربان LT موديل 2021,"Al Maabilah, Muscat",12700,2021,181000,,3,2,29,Suburban,,Black,4-5,7,Full Leather,Does Not Apply,1,Estate,Cash,us,"['34', '36', '19', '20', '27', '11', '18', '25', '1', '3', '35', '22', '4', '9', '15', '42', '5', '28', '29', '31', '32', '38', '26', '6', '7', 'Brand: Chevrolet', 'Power (hp): 420', 'Air Conditioning: Automatic air conditioning 3 zones', 'Number of seats: 7', 'Number of doors: 4/5', 'Number of Owners: 1', 'Source: US']"
129619410,شيفروليه سوبربان LT موديل 2019,"Azaiba, Muscat",7800,2019,195000,,3,2,29,Suburban,,Black,4-5,7,Full Leather,Yes,1,Hatchback,Cash,us,"['34', '36', '20', '11', '25', '3', '33', '35', '22', '4', '9', '15', '42', '5', '28', '29', '31', '32', '38', '26', '6', '7', '21', '8', '13', '16', '37', '10', '40', '45', 'Brand: Chevrolet', 'Power (hp): 320', 'Consumption (l/100 km): 20', 'Air Conditioning: Automatic air conditioning 3 zones', 'Number of seats: 7', 'Number of doors: 4/5', 'Number of Owners: 1', 'Source: US']"
130537471,تويوتا كامرى 2018,"Ibra, Al Sharqiya",4850,2018,1,,3,2,65,Camry,كامري للبيع,Silver,,4,Cloth,No,,Sedan,Cash,us,"['Brand: Toyota', 'Number of seats: 4', 'Source: US']"
130537457,سوبارو ليجاسى 2015,"Al Khoud, Muscat",2000,2015,266000,,3,2,86,Legacy,1,Grey,4-5,4,Other,No,1,Sedan,Cash,gcc,"['Brand: Subaru', 'Air Conditioning: Automatic air conditioning', 'Number of seats: 4', 'Number of doors: 4/5', 'Number of Owners: 1', 'Source: GCC']"
130537434,جيب رانجلر 2018,"Salalah, Dhofar",9000,2018,170000,,3,2,64,Wrangler,صحارى,Red,4-5,4,Full Leather,Does Not Apply,1,SUV,Cash,us,"['Brand: Jeep', 'Power (hp): 350', 'Consumption (l/100 km): 15', 'Number of seats: 4', 'Number of doors: 4/5', 'Number of Owners: 1', 'Source: US']"
130372157,تويوتا أفالون 2014,"Al Khaboura, Al Batinah",3500,2014,200,,3,2,65,Avalon,أفلون 2014,White,4-5,4,Full Leather,Yes,1,Sedan,Cash,us,"['34', '36', '17', '20', '11', '18', '25', '1', '3', '33', '35', '22', '4', '9', '15', '42', '43', '5', '28', '29', '31', '32', '38', '26', '6', '7', 'Brand: Toyota', 'Power (hp): 350', 'Consumption (l/100 km): 10', 'Air Conditioning: Automatic air conditioning 2 zones', 'Number of seats: 4', 'Number of doors: 4/5', 'Number of Owners: 1', 'Source: US']"
130537415,Hyundai Santa Fe 2016,"Azaiba, Muscat",3700,2016,145000,,1,2,45,Santa Fe,gcc,Blue,4-5,7,Full Leather,No,2,SUV,Cash,gcc,"['5', '31', '26', '7', '10', '23', '45', 'Brand: Hyundai', 'Power (hp): 290', 'Air Conditioning: Automatic air conditioning 3 zones', 'Number of seats: 7', 'Number of doors: 4/5', 'Number of Owners: 2', 'Source: GCC']"
129648242,سوزوكي سويفت 2024,"Al Maabilah, Muscat",4300,2024,25000,,4,2,36,Swift,,Grey,4-5,5,,Yes,2,Hatchback,Cash,company,"['36', '20', '11', '25', '22', '5', '32', '38', '26', '6', '7', '8', '40', '46', 'Brand: Suzuki', 'Air Conditioning: Automatic air conditioning 4 zones', 'Number of seats: 5', 'Number of doors: 4/5', 'Number of Owners: 2', 'Source: Company Source']"
130223003,Daihatsu Sirion for sale in Ruwi  urgent,"Ruwi, Muscat",735,2006,251000,,3,2,68,Sirion,Sirion,Black,4-5,,Other,Does Not Apply,1,Hatchback,Cash,company,"['Brand: Daihatsu', 'Power (hp): 122', 'Consumption (l/100 km): 18', 'Air Conditioning: Automatic air conditioning', 'Number of doors: 4/5', 'Number of Owners: 1', 'Source: Company Source']"
130393332,مرسيدس بنز اى 280 2008,"Sohar, Al Batinah",1250,2008,300,,1,2,33,280E,,Grey,4-5,5,Full Leather,Yes,,Sedan,Cash,gcc,"['20', '18', '1', '3', '15', '42', '5', '28', '32', '38', '26', '21', '8', '16', '37', '24', '23', '40', 'Brand: Mercedes-Benz', 'Power (hp): 280', 'Air Conditioning: Automatic air conditioning', 'Number of seats: 5', 'Number of doors: 4/5', 'Source: GCC']"
130433615,Nissan Sunny 2007,"Salalah, Dhofar",900,2007,339000,,3,2,66,Sunny,,White,,,,Does Not Apply,,Sedan,Cash,company,"['Brand: Nissan', 'Source: Company Source']"
130537339,مرسيدس بنز اس ال 320 1995,"Al Maabilah, Muscat",2200,1995,130,,3,2,33,SL320,,Red,2-3,2,Full Leather,No,1,Convertible,Cash,company,"['34', '17', '20', '11', '18', '1', '42', '8', 'Brand: Mercedes-Benz', 'Power (hp): 320', 'Consumption (l/100 km): 2', 'Air Conditioning: Automatic air conditioning', 'Number of seats: 2', 'Number of doors: 2/3', 'Number of Owners: 1', 'Source: Company Source']"
130537331,MG MG 750 2009,"Qurayyat, Muscat",800,2009,400000,,3,2,136,MG 750,2010,Blue,,4,Full Leather,No,3,Sedan,Cash,europe,"['17', '19', '20', '27', '18', '3', '15', '32', '38', '26', '6', '21', '30', '16', '37', '24', '10', 'Brand: MG', 'Power (hp): 25', 'Consumption (l/100 km): 8', 'Air Conditioning: Automatic air conditioning 2 zones', 'Number of seats: 4', 'Number of Owners: 3', 'Source: Europe']"
