car_title,location,year,price,kilometers,transmission_type,number_of_doors,source,model,color,contact_number,brand
تويوتا كامرى XSE موديل 2018 مع ضمان 3 سنوات,"Al Seeb, Muscat•",2018,"OMR 6,500",173000,Automatic,'4/5,US,Camry,Blue,N/A,Toyota
Dodge Charger 2021,"Al Maabilah, Muscat•",2021,"OMR 6,500",71000,Automatic,'4/5,US,Charger,Blue,N/A,Dodge
Mercedes-Benz C 300 2024,"Al Maabilah, Muscat•",2024,"OMR 18,700",5000,Automatic,'4/5,US,C 300,White,N/A,Mercedes
Land Rover Range Rover Velar 2022,"Al Khoud, Muscat•",2022,"OMR 19,400",32000,Automatic,'4/5,US,Range Rover Velar,Other,N/A,Land Rover
2024 Chevrolet Tahoe Premier 6.2L / GCC,"The Wave (Almouj), Muscat•",2024,"OMR 24,500",11000,Automatic,'4/5,GCC,Tahoe,Silver,N/A,Chevrolet
Mercedes-Benz S 450 2019,"Al Maabilah, Muscat•",2019,"OMR 17,700",55000,Automatic,'4/5,US,S 450,Beige,N/A,Mercedes
نيسان التيما 2018,"Azaiba, Muscat•",2018,"OMR 4,200",62000,Automatic,'4/5,GCC,Altima,White,N/A,Nissan
لينكولن كونتيننتال 2020,"Al Khoud, Muscat•",2020,"OMR 7,400",39000,Automatic,'4/5,US,Continental,Gold,N/A,Lincoln
هيونداي سنتافي 2020 مع ضمان 3 سنوات,"Al Maabilah, Muscat•",2020,"OMR 7,500",77000,Automatic,'4/5,US,Santa Fe,White,N/A,Hyundai
FULL OPTION SUV- MG RX5 2020 2.0T,"Darsait, Muscat•",2020,"OMR 3,900",113500,Automatic,'4/5,GCC,MG RX5,Blue,N/A,MG
جمس سيرا غماره AT4 رقم 1 محرك 5.3 خليجي 2022,"Al Ghubrah, Muscat•",2022,"OMR 18,900",50000,Automatic,'2/3,GCC,Sierra,Black,N/A,GMC
GMC Sierra 2018,"Bosher, Muscat•",2018,"OMR 7,800",110000,Automatic,'4/5,Canada,Sierra,Brown,N/A,GMC
نيتا اكس 2024 مع ضمان 3 سنوات,"Al Maabilah, Muscat•",2024,"OMR 10,200",1,Automatic,'4/5,Company Source,Nezha,White,N/A,Nezha
BMW X5 2009,"Azaiba, Muscat•",2009,"OMR 2,200",139400,Automatic,'4/5,GCC,X5,Black,N/A,BMW
Lexus IS-Series 2007,"Al Maabilah, Muscat•",2007,"OMR 1,400",400000,Automatic,'4/5,Company Source,IS-Series,White,N/A,Unknown
Porsche Cayenne GTS 2014 only 72000 km,"Bosher, Muscat•",2014,"OMR 9,800",72000,Automatic,'4/5,GCC,Cayenne GTS,White,N/A,Porsche
مرسيدس بنز إيه كلاس 2020,"Al Maabilah, Muscat•",2020,"OMR 10,900",91000,Automatic,N/A,US,A-Class,Blue,N/A,Unknown
نيسان جي تي -أر كلين تايتل 2017 Nissan GTR,"Al Maabilah, Muscat•",2017,"OMR 38,500",38000,Automatic,N/A,Europe,GT-R,White,N/A,Unknown
لاند روفر رنج روفر سبورت 2017 Range Rover,"Al Maabilah, Muscat•",2017,"OMR 7,800",200000,Automatic,N/A,US,Range Rover Sport,Black,N/A,Unknown
دودج تشارجر سكات باك 2019 Dodge Charger Scat pack,"Al Maabilah, Muscat•",2019,"OMR 7,600",140000,Automatic,N/A,US,Charger,Grey,N/A,Dodge
لكزس إن إكس 2019 lexus NX 300,"Al Maabilah, Muscat•",2019,"OMR 7,900",109000,Automatic,N/A,US,NX 300,Gold,N/A,Unknown
نيسان باترول سفاري توربو 2018 Nissan Patrol Safari Turbo,"Al Maabilah, Muscat•",2018,"OMR 15,800",59000,Manual,N/A,GCC,Patrol Safari,Black,N/A,Unknown
هيونداي إلينترا 2023 Hyundai Elantra N,"Al Maabilah, Muscat•",2023,"OMR 9,900",16000,Automatic,N/A,US,Elantra,Black,N/A,Unknown
إنفينيتي كيو 50 2021 Infinity Q50 Luxury,"Al Maabilah, Muscat•",2021,"OMR 6,500",63000,Automatic,N/A,US,Q50,Grey,N/A,Unknown
مرسيدس بنز اى 300 2017 Mercedes E300,"Al Maabilah, Muscat•",2017,"OMR 8,900",100000,Automatic,N/A,US,E300,White,N/A,Unknown
فورد برونكو 2023 Ford Bronco,"Al Maabilah, Muscat•",2023,"OMR 12,800",89000,Automatic,N/A,US,Bronco,White,N/A,Unknown
دودج تشالنجر 2020 Dodge Challenger SXT,"Al Maabilah, Muscat•",2020,"OMR 5,950",48000,Automatic,N/A,US,Challenger,Red,N/A,Unknown
تويوتا كورولا 2020 Toyota Corolla,"Al Maabilah, Muscat•",2020,"OMR 5,600",52000,Automatic,N/A,US,Corolla,Grey,N/A,Unknown
شيفروليه كورفيت 2015 Chevrolet Corvette C7,"Al Maabilah, Muscat•",2015,"OMR 11,500",100000,Automatic,N/A,US,Corvette,Yellow,N/A,Unknown
فورد موستانج دارك هورس 2024 Ford Mustang Dark Horse,"Al Maabilah, Muscat•",2024,"OMR 18,700",28000,Automatic,N/A,US,Mustang,White,N/A,Unknown
لكزس NX 350 موديل 2023 مع ضمان 3 سنوات,"Al Khaboura, Al Batinah•",2023,"OMR 14,200",52800,Automatic,'4/5,US,NX,Gold,N/A,Lexus
Jetour T2 2025 | جيتور T2 2025,"Al Hail, Muscat•",2025,"OMR 13,200",24000,Automatic,'4/5,GCC,T2,Silver,N/A,Jetour
نيتا اس 2024 مع ضمان 3 سنوات,"Al Maabilah, Muscat•",2024,"OMR 13,200",-,Automatic,'4/5,Company Source,Nezha,White,N/A,Unknown
Mercedes-Benz E 350 2024,"Al Maabilah, Muscat•",2024,"OMR 30,500",3800,Automatic,'4/5,US,E 350,Brown,N/A,Mercedes
لكزس GS 350 موديل 2018 مع ضمان 3 سنوات,"Al Seeb, Muscat•",2018,"OMR 9,800",115000,Automatic,'4/5,US,GS-Series,Black,N/A,Unknown
تويوتا لاند كروزر 2025,"Al Masn'a, Al Batinah•",2025,"OMR 26,200",-,Automatic,'4/5,GCC,Land Cruiser,White,N/A,Toyota
Nissan Patrol 2014,"Bosher, Muscat•",2014,"OMR 7,000",240000,Automatic,N/A,GCC,Patrol,Black,N/A,Unknown
GCC Oman Mazda 6 model 2019 cc2.5,"Qurum, Muscat•",2019,"OMR 4,800",93000,Automatic,N/A,GCC,6,Brown,N/A,Unknown
Nissan Pathfinder 2023,"Al Maabilah, Muscat•",2023,"OMR 11,900",60000,Automatic,N/A,US,Pathfinder,White,N/A,Unknown
مرسيدس S450 موديل 2019 مع ضمان 3 سنوات,"Al Khaboura, Al Batinah•",2019,"OMR 16,200",67000,Automatic,'4/5,US,SL-Class,Black,N/A,Unknown
نيتا ايه 2024 مع ضمان 3 سنوات,"Al Maabilah, Muscat•",2024,"OMR 7,200",-,Automatic,'4/5,Company Source,Nezha,Green,N/A,Unknown
Dodge Charger 2021,"Al Maabilah, Muscat•",2021,"OMR 6,500",71000,Automatic,'4/5,US,Charger,Blue,N/A,Dodge
FULL OPTION SUV- MG RX5 2020 2.0T,"Darsait, Muscat•",2020,"OMR 3,900",113500,Automatic,'4/5,GCC,MG RX5,Blue,N/A,MG
Nissan Pathfinder 2016,"Madinat As Sultan Qaboos, Muscat•",2016,"OMR 4,999",190000,Automatic,'4/5,GCC,Pathfinder,Black,N/A,Nissan
نيسان باترول سفاري 2021 مع ضمان 3 سنوات,"Al Seeb, Muscat•",2021,"OMR 14,700",116000,Automatic,'2/3,US,Patrol Safari,Beige,N/A,Nissan
