brand,model,year,color,transmission_type,number_of_doors,source,kilometers,price
jeep,cherokee,2014,burgundy,automatic,4/5,gcc,129000,3800.0
volvo,xc90,2016,blue,automatic,4/5,gcc,121000,8800.0
honda,city,2023,silver,automatic,4/5,gcc,25000,5500.0
kia,rio,2015,white,automatic,4/5,gcc,104000,2800.0
kia,sportage,2017,white,automatic,4/5,gcc,120000,5800.0
peugeot,208,2016,white,automatic,4/5,gcc,191000,1800.0
ford,mustang,2017,white,manual,2/3,gcc,125000,8800.0
nissan,patrol,2014,grey,automatic,4/5,gcc,312896,8200.0
ford,explorer,2016,brown,automatic,4/5,gcc,184059,6900.0
toyota,corolla cross,2022,white,automatic,4/5,gcc,145000,6200.0
mazda,3,2020,black,automatic,4/5,us,180989,4600.0
mazda,6,2021,brown,automatic,4/5,gcc,117000,5300.0
hyundai,azera,2017,silver,automatic,4/5,gcc,47000,4200.0
hyundai,santa fe,2017,silver,automatic,4/5,gcc,190000,4400.0
ford,f150,2019,silver,automatic,4/5,us,125893,8700.0
hyundai,sonata,2020,white,automatic,4/5,us,198650,5800.0
infiniti,q50,2017,blue,automatic,4/5,us,209865,3650.0
subaru,legacy,2016,blue,automatic,4/5,gcc,190865,3900.0
hyundai,accent,2016,white,automatic,4/5,gcc,190685,1900.0
honda,odyssey,2022,white,automatic,4/5,gcc,45326,12500.0
nissan,pathfinder,2020,white,automatic,4/5,gcc,103000,5600.0
volkswagen,tivoli,2020,red,automatic,4/5,gcc,135000,2500.0
lexus,rc 350,2015,white,automatic,2/3,us,10000,5800.0
toyota,prado,2019,white,automatic,4/5,gcc,126980,13300.0
nissan,armada,2019,silver,automatic,4/5,us,145826,12800.0
ford,fusion,2012,burgundy,automatic,4/5,gcc,325361,1550.0
toyota,land cruiser,2020,white,automatic,4/5,gcc,126358,20700.0
toyota,avalon,2019,silver,automatic,4/5,us,109899,7650.0
nissan,pajero,2016,beige,automatic,4/5,gcc,156832,4700.0
suzuki,ertiga,2020,white,automatic,4/5,gcc,256000,3000.0
toyota,rav 4,2021,grey,automatic,4/5,us,75369,8400.0
nissan,patrol,2018,gold,automatic,4/5,gcc,156898,10900.0
toyota,land cruiser,2016,burgundy,automatic,4/5,gcc,196830,16300.0
toyota,camry,2018,silver,automatic,4/5,us,135246,4700.0
volkswagen,tiguan,2016,brown,automatic,4/5,gcc,159006,2900.0
volkswagen,tiguan,2017,white,automatic,4/5,gcc,95000,4700.0
chevrolet,aveo,2019,white,automatic,4/5,gcc,123000,2200.0
nissan,kicks,2018,orange,automatic,4/5,gcc,95680,3600.0
jeep,compass,2020,white,automatic,4/5,gcc,78000,6400.0
nissan,sentra,2019,white,automatic,4/5,gcc,160000,2800.0
ford,fusion,2016,blue,automatic,4/5,gcc,200000,2900.0
chevrolet,trax,2019,gold,automatic,4/5,gcc,101000,3100.0
toyota,fj cruiser,2007,burgundy,automatic,4/5,us,352890,3650.0
renault,koleos,2022,white,automatic,4/5,gcc,114000,4400.0
toyota,avalon,2008,black,automatic,4/5,us,265830,1700.0
ford,edge,2021,silver,automatic,4/5,gcc,87000,6800.0
mitsubishi,asx,2024,white,automatic,4/5,gcc,2000,6500.0
gmc,other,2017,silver,automatic,4/5,gcc,165328,3700.0
hyundai,santa fe,2017,red,automatic,4/5,gcc,163809,4300.0
nissan,altima,2020,other,automatic,4/5,us,40368,4700.0
suzuki,grand vitara,2018,brown,automatic,4/5,gcc,185098,3550.0
hyundai,elantra,2020,brown,automatic,4/5,gcc,107000,4400.0
mitsubishi,pajero,2019,white,automatic,4/5,gcc,189000,6500.0
toyota,corolla,2020,blue,automatic,4/5,us,208793,4500.0
kia,pegas,2022,white,automatic,4/5,gcc,106000,3500.0
nissan,sunny,2021,white,automatic,4/5,gcc,107000,3600.0
kia,optima,2020,silver,automatic,4/5,gcc,144000,4300.0
hyundai,elantra,2018,silver,automatic,4/5,gcc,220000,3400.0
hyundai,accent,2020,white,automatic,4/5,gcc,123000,3400.0
hyundai,santa fe,2020,white,automatic,4/5,gcc,78000,7500.0
mazda,6,2018,grey,automatic,4/5,gcc,128000,3800.0
kia,optima,2018,white,automatic,4/5,gcc,178000,3400.0
toyota,land cruiser,2010,white,automatic,4/5,gcc,412568,8700.0
toyota,camry,2014,grey,automatic,4/5,us,358009,2800.0
toyota,land cruiser,2023,grey,automatic,4/5,gcc,10000,29900.0
jeep,laredo,2016,grey,automatic,4/5,gcc,110000,6200.0
fiat,500,2015,white,automatic,2/3,gcc,172850,1850.0
toyota,prado,2021,white,automatic,4/5,gcc,159000,14700.0
nissan,maxima,2013,silver,automatic,4/5,gcc,160009,2100.0
chevrolet,silverado,2021,grey,automatic,4/5,us,158965,9700.0
ford,edge,2014,black,automatic,4/5,gcc,20000,2600.0
toyota,rav 4,2016,red,automatic,4/5,us,108529,4900.0
cadillac,sts,2017,white,automatic,2/3,gcc,17000,3900.0
toyota,fortuner,2013,beige,automatic,4/5,gcc,20800,5400.0
ford,edge,2014,orange,automatic,4/5,gcc,17000,3000.0
chrysler,300m/300c,2016,grey,automatic,4/5,us,200008,3600.0
mitsubishi,outlander,2019,white,automatic,4/5,gcc,115000,5500.0
hyundai,tucson,2023,silver,automatic,4/5,gcc,23000,9500.0
renault,megan,2019,gold,automatic,4/5,gcc,111000,2300.0
mazda,2,2018,white,automatic,4/5,gcc,115000,2800.0
hyundai,santa fe,2016,beige,automatic,4/5,gcc,112000,4800.0
renault,megan,2021,white,automatic,4/5,gcc,46000,3100.0
chevrolet,malibu,2018,white,automatic,4/5,gcc,116000,3800.0
gmc,acadia,2018,silver,automatic,4/5,gcc,133000,6100.0
honda,accord,2019,white,automatic,4/5,us,110000,5200.0
chevrolet,tahoe,2018,silver,automatic,4/5,gcc,100000,12700.0
porsche,macan,2017,gold,automatic,4/5,gcc,149000,9400.0
toyota,camry,2020,grey,automatic,4/5,us,60000,5800.0
chevrolet,tahoe,2021,grey,automatic,4/5,us,94000,14900.0
honda,civic,2019,white,automatic,4/5,gcc,88000,4500.0
chery,tiggo,2016,red,automatic,4/5,gcc,95000,1550.0
toyota,hiace,2017,white,manual,4/5,gcc,280000,8000.0
mitsubishi,l200,2018,white,manual,4/5,gcc,198000,4500.0
toyota,coaster,2022,white,manual,2/3,gcc,80000,19900.0
fuso,fuso rosa,2021,white,manual,2/3,gcc,500000,15500.0
toyota,hilux,2019,white,manual,4/5,gcc,100000,5400.0
renault,dokker van,2021,white,manual,2/3,gcc,92000,3800.0
hino,other,2019,white,manual,2/3,gcc,119000,11500.0
mitsubishi,pajero,2020,white,automatic,4/5,gcc,118000,7200.0
mitsubishi,pajero,2019,grey,automatic,4/5,gcc,130000,6600.0
toyota,yaris,2021,white,automatic,4/5,gcc,119000,4000.0
fuso,fuso canter,2020,white,manual,2/3,gcc,163000,13250.0
toyota,coaster,2020,white,manual,2/3,gcc,87000,18500.0
kia,sportage,2018,blue,automatic,4/5,gcc,79000,3800.0
kia,sportage,2019,white,automatic,4/5,gcc,177000,4000.0
toyota,hilux,2022,white,manual,4/5,gcc,197000,9200.0
mitsubishi,pickup,2019,white,manual,4/5,gcc,170000,4550.0
mitsubishi,pickup,2021,white,manual,4/5,gcc,197000,6200.0
man,144,2006,white,manual,2/3,gcc,300000,6500.0
man,other,2015,white,manual,2/3,gcc,500000,23000.0
mitsubishi,pickup,2022,white,automatic,4/5,gcc,200000,6600.0
toyota,coaster,2014,white,manual,2/3,gcc,227000,10500.0
ram,rav 4,2019,grey,automatic,4/5,gcc,150000,9900.0
toyota,avalon,2016,black,automatic,4/5,gcc,139000,6900.0
gmc,sierra,2021,red,automatic,2/3,gcc,92000,11700.0
infiniti,q50,2017,silver,automatic,4/5,gcc,155000,3900.0
cadillac,ct6,2019,black,automatic,4/5,gcc,93000,11900.0
gmc,acadia,2019,silver,automatic,4/5,gcc,86000,6900.0
toyota,corolla,2019,blue,automatic,4/5,us,46000,5200.0
toyota,camry,2023,silver,automatic,4/5,us,39000,6400.0
toyota,camry,2020,white,automatic,4/5,us,55000,6900.0
toyota,camry,2019,silver,automatic,4/5,us,201600,5900.0
infiniti,qx80,2019,grey,automatic,4/5,us,187000,10100.0
honda,odyssey,2018,white,automatic,4/5,us,174000,7500.0
honda,accord,2023,white,automatic,4/5,us,34000,7700.0
toyota,fortuner,2018,grey,automatic,4/5,us,137000,9900.0
honda,accord,2024,silver,automatic,4/5,us,6631,8600.0
mazda,3,2023,grey,automatic,4/5,us,42000,6100.0
mercedes,c 300,2019,white,automatic,4/5,us,116000,8900.0
toyota,avalon,2021,red,automatic,4/5,us,48000,10600.0
infiniti,qx80,2019,silver,automatic,4/5,us,197000,11600.0
gmc,terrain,2019,blue,automatic,4/5,gcc,129000,5800.0
gac,gs4,2022,white,automatic,4/5,gcc,104000,3700.0
gmc,yukon,2017,brown,automatic,4/5,gcc,140000,10900.0
suzuki,swift,2020,red,automatic,4/5,gcc,148000,3800.0
nissan,altima,2022,grey,automatic,4/5,us,38000,6400.0
nissan,pathfinder,2021,white,automatic,4/5,us,64000,13400.0
suzuki,vitara,2020,red,automatic,4/5,gcc,118000,4400.0
nissan,armada,2018,silver,automatic,4/5,us,105000,11300.0
jeep,cherokee,2016,grey,automatic,4/5,gcc,140000,3900.0
ford,f150,2021,grey,automatic,4/5,us,70000,13700.0
chevrolet,tahoe,2018,white,automatic,4/5,us,73000,7650.0
infiniti,qx56,2017,silver,automatic,4/5,gcc,165000,10400.0
nissan,patrol,2018,grey,automatic,4/5,gcc,140000,12900.0
lincoln,continental,2017,white,automatic,4/5,us,54000,5800.0
range rover,range rover sport,2016,white,automatic,4/5,gcc,250000,11500.0
toyota,corolla,2020,white,automatic,4/5,gcc,188000,4700.0
hyundai,elantra,2021,white,automatic,4/5,us,54000,5200.0
mitsubishi,pajero,2016,white,automatic,4/5,gcc,135000,6000.0
toyota,fortuner,2023,gold,automatic,4/5,gcc,12000,18700.0
kia,sorento,2014,grey,automatic,4/5,gcc,278000,3300.0
toyota,sequoia,2020,black,automatic,4/5,us,83000,14800.0
ford,f150,2020,silver,automatic,4/5,us,116000,8700.0
toyota,tacoma,2021,red,automatic,4/5,us,128000,9500.0
nissan,sentra,2022,black,automatic,4/5,us,48000,4900.0
gmc,other,2004,white,automatic,4/5,gcc,42900,3300.0
nissan,pickup,2015,white,manual,2/3,gcc,167555,2650.0
nissan,pathfinder,2017,grey,automatic,4/5,us,202000,5650.0
nissan,300zx,1986,silver,manual,2/3,us,200000,5800.0
honda,civic,2022,white,automatic,4/5,us,22000,6300.0
volkswagen,passat,2016,black,automatic,4/5,us,182000,3200.0
ford,escape,2016,white,automatic,4/5,us,72000,3700.0
chevrolet,tahoe,2018,silver,automatic,4/5,us,265000,8950.0
nissan,altima,2018,grey,automatic,4/5,us,134000,2950.0
toyota,sequoia,2017,burgundy,automatic,4/5,us,156000,9300.0
lexus,gx 460,2021,white,automatic,4/5,us,37000,17500.0
toyota,corolla,2017,red,automatic,4/5,us,100000,4200.0
lexus,es 250,2021,silver,automatic,4/5,us,50000,12400.0
